c_value,fold,roc_auc,brier_score,fit_score_seconds,fit_rows,score_rows
0.01,1,0.7776078775608317,0.1335104976888058,0.1413602998945862,14400,3600
0.01,2,0.7817441968208466,0.13296016508560027,0.12856490002013743,14400,3600
0.01,3,0.7554102090337564,0.13922950227347317,0.12914140010252595,14400,3600
0.01,4,0.7728460419071105,0.1381422916871364,0.13056330010294914,14400,3600
0.01,5,0.7785118531315636,0.1375785113956867,0.12868490000255406,14400,3600
0.1,1,0.7763639155215935,0.13354798869592371,0.13423519977368414,14400,3600
0.1,2,0.7828677465576181,0.13285336405381454,0.13496930012479424,14400,3600
0.1,3,0.754764595086703,0.13927782664648247,0.1365127998869866,14400,3600
0.1,4,0.7730297349801791,0.13780733320963084,0.13738649990409613,14400,3600
0.1,5,0.778355938035398,0.13740706111569567,0.1340866000391543,14400,3600
1.0,1,0.7759212100675428,0.13360987689892512,0.14205899997614324,14400,3600
1.0,2,0.7830915612462181,0.13295972328243214,0.14654659992083907,14400,3600
1.0,3,0.7539800912551344,0.13933412181188512,0.15235799993388355,14400,3600
1.0,4,0.7719244403185685,0.13783188176699507,0.15001820004545152,14400,3600
1.0,5,0.7772246575244266,0.1374056832251043,0.15139180002734065,14400,3600
10.0,1,0.775617269720424,0.1336416565308011,0.14178550010547042,14400,3600
10.0,2,0.7830503793435156,0.13300089703837847,0.14996780012734234,14400,3600
10.0,3,0.753799086373379,0.13934297406939933,0.14934520004317164,14400,3600
10.0,4,0.7713688807805074,0.13788120589938135,0.14486989984288812,14400,3600
10.0,5,0.7768052996795676,0.13741919295778487,0.14534579985775054,14400,3600
